i,j,x,y,yaw
0,290,-0.00295,0.13602,-0.03386
0,291,-0.00295,0.13602,-0.03386
0,292,-0.00295,0.13602,-0.03386
0,293,-0.00295,0.13602,-0.03386
0,294,-0.00295,0.13602,-0.03386
0,295,-0.00295,0.13602,-0.03386
0,296,-0.00295,0.13602,-0.03386
0,297,-0.00295,0.13602,-0.03386
0,298,-0.00295,0.13602,-0.03386
0,299,-0.00295,0.13602,-0.03386
0,300,-0.00295,0.13602,-0.03386
0,301,-0.00295,0.13602,-0.03386
0,302,-0.00295,0.13602,-0.03386
0,303,-0.00295,0.13602,-0.03386
0,304,-0.00295,0.13602,-0.03386
0,305,-0.00295,0.13602,-0.03386
0,306,-0.00295,0.13602,-0.03386
0,307,-0.00295,0.13602,-0.03386
0,308,-0.00295,0.13602,-0.03386
0,309,-0.00295,0.13602,-0.03386
0,310,-0.00295,0.13602,-0.03386
0,311,-0.00295,0.13602,-0.03386
0,312,-0.00295,0.13602,-0.03386
0,313,-0.00295,0.13602,-0.03386
0,314,-0.0032,0.13549,-0.05173
0,315,-0.0032,0.13549,-0.05173
0,316,-0.0032,0.13549,-0.05173
0,317,-0.0032,0.13549,-0.05173
0,318,-0.0032,0.13549,-0.05173
0,319,-0.0032,0.13549,-0.05173
0,320,-0.00295,0.13602,-0.03386
0,321,-0.00295,0.13602,-0.03386
0,322,-0.00295,0.13602,-0.03386
0,323,-0.0032,0.13549,-0.05173
0,324,-0.0032,0.13549,-0.05173
0,325,-0.0032,0.13549,-0.05173
0,326,-0.0032,0.13549,-0.05173
0,327,-0.0032,0.13549,-0.05173
0,328,-0.0032,0.13549,-0.05173
0,329,-0.0032,0.13549,-0.05173
0,330,-0.00203,0.13657,-0.05964
0,331,-0.00203,0.13657,-0.05964
0,332,-0.00203,0.13657,-0.05964
0,333,-0.00203,0.13657,-0.05964
0,334,-0.00203,0.13657,-0.05964
0,335,-0.00203,0.13657,-0.05964
0,336,-0.00203,0.13657,-0.05964
0,337,-0.00203,0.13657,-0.05964
0,338,-0.00203,0.13657,-0.05964
0,339,-0.00201,0.13681,-0.0629
0,340,-0.00201,0.13681,-0.0629
0,341,-0.00201,0.13681,-0.0629
0,342,-0.00201,0.13681,-0.0629
0,343,-0.00201,0.13681,-0.0629
0,344,-0.00201,0.13681,-0.0629
0,345,-0.00201,0.13681,-0.0629
0,346,-0.00201,0.13681,-0.0629
0,347,-0.00201,0.13681,-0.0629
0,348,-0.00305,0.13569,-0.0549
0,349,-0.00305,0.13569,-0.0549
0,350,-0.00305,0.13569,-0.0549
0,351,-0.00305,0.13569,-0.0549
0,352,-0.00305,0.13569,-0.0549
0,353,-0.00305,0.13569,-0.0549
0,354,-0.00305,0.13569,-0.0549
0,355,-0.00364,0.13483,-0.06808
0,356,-0.00364,0.13483,-0.06808
0,357,-0.00364,0.13483,-0.06808
0,358,-0.00364,0.13483,-0.06808
0,359,-0.00364,0.13483,-0.06808
0,360,-0.00364,0.13483,-0.06808
0,361,-0.0038,0.13488,-0.07436
0,362,-0.0038,0.13488,-0.07436
0,363,-0.0038,0.13488,-0.07436
0,364,-0.00278,0.13519,-0.09837
0,365,-0.00278,0.13519,-0.09837
0,366,-0.00278,0.13519,-0.09837
0,367,-0.00192,0.13631,-0.05542
0,368,-0.00192,0.13631,-0.05542
0,369,-0.00192,0.13631,-0.05542
0,370,-0.00192,0.13631,-0.05542
0,371,-0.00192,0.13631,-0.05542
0,372,-0.00192,0.13631,-0.05542
0,373,-0.00192,0.13631,-0.05542
0,374,-0.00192,0.13631,-0.05542
0,375,-0.00192,0.13631,-0.05542
0,376,-0.00192,0.13631,-0.05542
0,377,-0.00192,0.13631,-0.05542
0,378,-0.00192,0.13631,-0.05542
0,379,-0.00192,0.13631,-0.05542
0,380,-0.00192,0.13631,-0.05542
0,381,-0.00192,0.13631,-0.05542
0,382,-0.00192,0.13631,-0.05542
0,383,-0.00192,0.13631,-0.05542
0,384,-0.00192,0.13631,-0.05542
0,385,-0.00192,0.13631,-0.05542
0,386,-0.00192,0.13631,-0.05542
0,387,-0.00192,0.13631,-0.05542
0,388,-0.00192,0.13631,-0.05542
0,389,-0.0022,0.13575,-0.0733
0,390,-0.0022,0.13575,-0.0733
0,391,-0.0022,0.13575,-0.0733
0,392,-0.00101,0.13684,-0.08119
0,393,-0.00101,0.13684,-0.08119
0,394,-0.00101,0.13684,-0.08119
0,395,-0.00106,0.13661,-0.07899
0,396,-0.00106,0.13661,-0.07899
0,397,-0.00106,0.13661,-0.07899
0,398,-0.00101,0.13684,-0.08119
0,399,-0.00101,0.13684,-0.08119
0,400,-0.00101,0.13684,-0.08119
0,401,-0.00102,0.13706,-0.08464
0,402,-0.00102,0.13706,-0.08464
0,403,-0.00102,0.13706,-0.08464
0,404,-0.00102,0.13706,-0.08464
0,405,-0.00118,0.1363,-0.05537
0,406,-0.00118,0.1363,-0.05537
0,407,-0.00118,0.1363,-0.05537
0,408,-0.00146,0.13575,-0.0733
0,409,-0.00146,0.13575,-0.0733
0,410,-0.00146,0.13575,-0.0733
0,411,-0.00129,0.13593,-0.08733
0,412,-0.00129,0.13593,-0.08733
0,413,-0.00129,0.13593,-0.08733
0,414,-0.00129,0.13593,-0.08733
0,415,-0.00129,0.13593,-0.08733
0,416,-0.00129,0.13593,-0.08733
0,417,-0.00159,0.13584,-0.10833
0,418,-0.00159,0.13584,-0.10833
0,419,-0.00159,0.13584,-0.10833
0,420,-0.00026,0.13706,-0.08448
