i,j,goalCurrent
0,33,"[155.15933143956252, 48.596630495204835, -138.03760626458978, -45.790926704818375]"
0,34,"[153.8136676729846, 48.34467646944794, -139.25687812209037, -45.95517921276325]"
0,35,"[153.21275146530388, 48.23216451703599, -139.801353078568, -46.02852739722635]"
0,36,"[155.03474832569623, 49.174389934872515, -137.46209190229433, -44.68402916439077]"
0,37,"[153.6363157963188, 48.86014413589656, -138.6340158197436, -44.8419032606208]"
0,38,"[152.3710643370885, 48.624259499967, -139.7822682139403, -44.99658848060704]"
0,39,"[124.94930452158259, 33.08928492045706, -157.085848201852, -57.22704627007879]"
0,40,"[125.71501576549497, 33.232038771227025, -156.36166308332398, -57.20047349455323]"
0,41,"[127.85631781844234, 33.66539657953811, -154.4297220761677, -56.912358515746405]"
0,42,"[140.51186877623684, 40.57982020263757, -147.35289065425548, -51.588147753335264]"
0,43,"[141.00344073556926, 40.67166255280448, -146.90668172249423, -51.52780739480876]"
0,44,"[141.9593923364227, 40.881983305743525, -146.09659063537677, -51.418259640031984]"
0,45,"[142.6782626032283, 41.048463544485635, -145.5628711785176, -51.30310741628477]"
0,46,"[143.65225220600522, 41.23121621311636, -144.68106958194298, -51.184316743920625]"
0,47,"[144.00803335663298, 41.29797252605888, -144.3589630771505, -51.140924615321865]"
0,48,"[150.02276421178126, 44.96747231787993, -140.63670084877188, -48.231533854579446]"
0,49,"[152.8900414794613, 45.50546838157379, -138.0408110515361, -47.88183218064881]"
0,50,"[152.7711409631277, 45.483158711532575, -138.14845764739047, -47.89633364169053]"
0,51,"[160.26020606078092, 49.781320800415955, -132.5800402206192, -44.36503775938557]"
0,52,"[160.68482665359332, 49.860993669890924, -132.19560991909148, -44.3132497674234]"
0,53,"[162.54277487306055, 50.20960621597691, -130.51351628933594, -44.08664886985836]"
0,54,"[163.45653154830828, 50.381057194924274, -129.68624658048398, -43.975204384701215]"
0,55,"[163.5840141265565, 50.40497714367154, -129.57083021390858, -43.959656229832156]"
0,56,"[163.23276101836115, 50.33907044127499, -129.8888372549749, -44.002496104891975]"
0,57,"[164.46755805198876, 50.57075921132898, -128.77091362150483, -43.85189658161198]"
0,58,"[170.10091438026595, 54.14065827141433, -124.59553191464401, -41.101896540665926]"
0,59,"[171.66997634622376, 54.435066200111116, -123.17498148704054, -40.91052907084313]"
0,60,"[171.5827732543697, 54.41870401543918, -123.25393081607234, -40.92116461960468]"
0,61,"[172.45654263469197, 54.58265205509631, -122.46286360918486, -40.814597104013394]"
0,62,"[172.38708114361916, 54.56961878161533, -122.52575057795107, -40.82306883431157]"
0,63,"[172.78347129300747, 54.64399468605323, -122.16687871155692, -40.77472391129586]"
0,64,"[173.1503563863327, 54.712834465959354, -121.83471925099262, -40.72997751277966]"
0,65,"[172.58398983218385, 54.60656536524331, -122.34747927458115, -40.79905326428675]"
0,66,"[173.89924160625804, 54.85335010601267, -121.15671593278621, -40.63864124127855]"
0,67,"[173.68648555621994, 54.8134300331485, -121.34933464665093, -40.66458960269996]"
0,68,"[173.94011418860728, 54.86101915450852, -121.11971193575283, -40.6336562994222]"
0,69,"[173.17364885282007, 54.71720490317699, -121.81363141383484, -40.72713669420504]"
0,70,"[179.108200367457, 58.67651848133849, -116.12052697029068, -37.12478725550948]"
0,71,"[180.471309398039, 58.932282826525814, -114.88643605592618, -36.95853841898514]"
0,72,"[179.25757127265823, 58.67700425461626, -115.93528936897484, -37.099833230371736]"
0,73,"[174.72577761838292, 55.77888908769366, -122.2530145152943, -40.92901257262763]"
