i,j,f_learnt
0,99,"[-0.5245912007631305, 35.22850441803136, 0.5245912007631296, -35.22850441803136]"
0,100,"[-0.519038606489898, 34.855624370479, 0.5190386064898971, -34.855624370479]"
0,101,"[-0.5069802315380207, 34.04585380122712, 0.5069802315380199, -34.04585380122712]"
0,102,"[-0.4875038426231843, 32.73793241036983, 0.4875038426231834, -32.73793241036983]"
0,103,"[-0.46763714781687515, 31.403800338124572, 0.4676371478168743, -31.403800338124572]"
0,104,"[-0.4816117737020977, 32.34225521312387, 0.48161177370209685, -32.34225521312387]"
0,105,"[-0.45686823190808595, 30.680622364269293, 0.4568682319080852, -30.680622364269293]"
0,106,"[-0.4442862562265468, 29.835689804897594, 0.44428625622654605, -29.835689804897594]"
0,107,"[-0.3861875318722779, 25.934116227950554, 0.3861875318722772, -25.934116227950554]"
0,108,"[-0.6564376459328117, 28.86211488126819, 0.6564376459328112, -28.86211488126819]"
0,109,"[-0.6633265137662414, 29.165003199819424, 0.6633265137662409, -29.165003199819424]"
0,110,"[-0.671056930466028, 29.504892565171502, 0.6710569304660274, -29.504892565171502]"
0,111,"[-0.4312652926638604, 28.96127736388098, 0.4312652926638596, -28.96127736388098]"
0,112,"[-0.4386582759453013, 29.45774726999798, 0.43865827594530055, -29.45774726999798]"
0,113,"[-0.425354365924395, 28.564333784856025, 0.42535436592439424, -28.564333784856025]"
0,114,"[-0.404549852285131, 27.167223235556634, 0.4045498522851303, -27.167223235556634]"
0,115,"[-0.40318619894238433, 27.075648181038503, 0.4031861989423836, -27.075648181038503]"
0,116,"[-0.3739404766143772, 25.111674982971227, 0.3739404766143765, -25.111674982971227]"
0,117,"[-0.5355086187001066, 23.54513238019514, 0.5355086187001062, -23.54513238019514]"
0,118,"[-0.48931828061818017, 21.514245132358003, 0.4893182806181798, -21.514245132358003]"
0,119,"[-0.516959107079356, 22.729551283183653, 0.5169591070793557, -22.729551283183653]"
0,120,"[-0.3376327562365086, 22.67345892848973, 0.337632756236508, -22.67345892848973]"
0,121,"[-0.32927102671280634, 22.111933639770413, 0.3292710267128057, -22.111933639770413]"
0,122,"[-0.34263671903877824, 23.00949606641919, 0.3426367190387776, -23.00949606641919]"
0,123,"[-0.1274727267932298, 22.442140128799537, 0.12747272679322944, -22.442140128799537]"
0,124,"[-0.12246239788600594, 21.560049455320154, 0.12246239788600559, -21.560049455320154]"
0,125,"[-0.11692665873062046, 20.585457972365845, 0.11692665873062011, -20.585457972365845]"
0,126,"[-0.34462646085318477, 23.143115593772286, 0.3446264608531842, -23.143115593772286]"
0,127,"[-0.34022569948301973, 22.84758596775867, 0.3402256994830191, -22.84758596775867]"
0,128,"[-0.4017737341587204, 26.98079523306829, 0.4017737341587197, -26.98079523306829]"
0,129,"[-0.3767599780579673, 25.301016357583816, 0.3767599780579666, -25.301016357583816]"
0,130,"[-0.39621786105092666, 26.60769499799151, 0.39621786105092593, -26.60769499799151]"
0,131,"[-0.38737030537408623, 26.01354444076345, 0.38737030537408557, -26.01354444076345]"
0,132,"[-0.3208035753805076, 21.543308687168434, 0.320803575380507, -21.543308687168434]"
0,133,"[-0.2281796097767745, 19.535037107226387, 0.22817960977677337, -19.535037107226387]"
0,134,"[-0.293256756017196, 25.106457217387476, 0.2932567560171945, -25.106457217387476]"
0,135,"[-0.2974645096271696, 25.466693712617328, 0.2974645096271681, -25.466693712617328]"
0,136,"[-0.36494794410407455, 24.50778862191972, 0.3649479441040739, -24.50778862191972]"
0,137,"[-0.34180630796545336, 22.953730471947054, 0.3418063079654528, -22.953730471947054]"
0,138,"[-0.32602983894339815, 21.89427425568589, 0.3260298389433976, -21.89427425568589]"
0,139,"[-0.2779279615100389, 23.794120108040556, 0.2779279615100375, -23.794120108040556]"
0,140,"[-0.2875653861377007, 24.61920455753913, 0.2875653861376993, -24.61920455753913]"
0,141,"[-0.36828560605692573, 31.529868016768344, 0.3682856060569239, -31.529868016768344]"
0,142,"[-0.45899510459440335, 30.823450806144653, 0.4589951045944025, -30.823450806144653]"
0,143,"[-0.4449419749348024, 29.879724072680133, 0.44494197493480164, -29.879724072680133]"
0,144,"[-0.4328018740507584, 29.064465263522177, 0.4328018740507576, -29.064465263522177]"
0,145,"[-0.5859982462198194, 30.968727377919276, 0.5859982462198198, -30.968727377919276]"
0,146,"[-0.5814048295451221, 30.725975339582067, 0.5814048295451224, -30.725975339582067]"
0,147,"[-0.5275563485370752, 27.88020073392273, 0.5275563485370754, -27.88020073392273]"
0,148,"[-0.5054422450593327, 26.711518666651823, 0.5054422450593329, -26.711518666651823]"
0,149,"[-0.5023764754088778, 26.5494994368659, 0.5023764754088781, -26.5494994368659]"
0,150,"[-0.4808971207522612, 25.414362458375912, 0.4808971207522615, -25.414362458375912]"
0,151,"[-0.45746999223163265, 24.176289885492015, 0.4574699922316329, -24.176289885492015]"
0,152,"[-0.5074084439787585, 26.815427984980428, 0.5074084439787588, -26.815427984980428]"
0,153,"[-0.5044812379092822, 26.66073153779926, 0.5044812379092826, -26.66073153779926]"
0,154,"[-0.4979482661890443, 26.315478251672854, 0.4979482661890446, -26.315478251672854]"
0,155,"[-0.47012348373219864, 24.84499927359631, 0.4701234837321989, -24.84499927359631]"
0,156,"[-0.4470401105762656, 23.625093420907614, 0.44704011057626586, -23.625093420907614]"
0,157,"[-0.4237568261350082, 22.394622693434876, 0.4237568261350084, -22.394622693434876]"
0,158,"[-0.41760877808712965, 22.069711782644063, 0.4176087780871299, -22.069711782644063]"
0,159,"[-0.4586168168534007, 24.23689706186315, 0.458616816853401, -24.23689706186315]"
0,160,"[-0.41498330055315913, 21.93096102953023, 0.41498330055315935, -21.93096102953023]"
0,161,"[-0.306161577639854, 20.560036986566033, 0.3061615776398535, -20.560036986566033]"
0,162,"[-0.3316876980005424, 22.27422327599209, 0.33168769800054176, -22.27422327599209]"
0,163,"[-0.2618687787853986, 17.585589344552087, 0.2618687787853981, -17.585589344552087]"
0,164,"[-0.31077636648773255, 16.423852172500588, 0.3107763664877327, -16.423852172500588]"
0,165,"[-0.2878449192173406, 15.211975271026887, 0.2878449192173408, -15.211975271026887]"
0,166,"[-0.240667622194191, 12.718758167798585, 0.2406676221941911, -12.718758167798585]"
0,167,"[-0.22138742741836248, 11.699841985612881, 0.22138742741836262, -11.699841985612881]"
0,168,"[-0.23401848411923498, 12.367365743555368, 0.2340184841192351, -12.367365743555368]"
0,169,"[-0.2108342765992618, 11.142131014969126, 0.2108342765992619, -11.142131014969126]"
0,170,"[-0.2080131135587943, 10.993038710252351, 0.20801311355879443, -10.993038710252351]"
0,171,"[-0.18414170689628664, 9.731487007960514, 0.18414170689628676, -9.731487007960514]"
0,172,"[-0.15919673243918675, 8.41319959260654, 0.15919673243918683, -8.41319959260654]"
0,173,"[-0.13497157404216048, 7.132952883808379, 0.13497157404216054, -7.132952883808379]"
0,174,"[-0.13600516920444486, 7.187576130561091, 0.13600516920444494, -7.187576130561091]"
0,175,"[-0.111694934066071, 5.902833301806955, 0.11169493406607107, -5.902833301806955]"
0,176,"[-0.08827832291363125, 4.665316548859846, 0.08827832291363129, -4.665316548859846]"
0,177,"[-0.09724120709816006, 5.138985401319886, 0.09724120709816012, -5.138985401319886]"
0,178,"[-0.08318790648116264, 4.396299158869116, 0.08318790648116269, -4.396299158869116]"
0,179,"[-0.060270980545178765, 3.1851896782014446, 0.0602709805451788, -3.1851896782014446]"
0,180,"[-0.03279160002393808, 1.7329644379962363, 0.0327916000239381, -1.7329644379962363]"
0,181,"[-0.008823317106283058, 0.46629303721655047, 0.008823317106283061, -0.46629303721655047]"
0,182,"[-0.0490281742561506, 2.591031922314472, 0.04902817425615063, -2.591031922314472]"
0,183,"[-0.03066044676952044, 1.6203376433558516, 0.03066044676952046, -1.6203376433558516]"
0,184,"[-0.04952426845312477, 2.6172494170577885, 0.0495242684531248, -2.6172494170577885]"
0,185,"[-0.02691078132638869, 1.4221760146891467, 0.026910781326388702, -1.4221760146891467]"
0,186,"[-0.009712710162556357, 0.5132955176321833, 0.009712710162556362, -0.5132955176321833]"
0,187,"[-0.02321816147358852, 1.227029120872738, 0.02321816147358853, -1.227029120872738]"
0,188,"[0.03275133112828348, -1.7308363148160362, -0.0327513311282835, 1.7308363148160362]"
0,189,"[0.0806024402283444, -4.2596629145717175, -0.08060244022834444, 4.2596629145717175]"
0,190,"[0.08329128333580121, -4.401762399841493, -0.08329128333580126, 4.401762399841493]"
0,191,"[0.07634366478314228, -4.034595934291426, -0.07634366478314232, 4.034595934291426]"
0,192,"[0.09894837286940675, -5.229205383546286, -0.0989483728694068, 5.229205383546286]"
0,193,"[0.15103054685764744, -7.981634521168903, -0.15103054685764752, 7.981634521168903]"
0,194,"[0.1905950090320803, -10.072529930562997, -0.1905950090320804, 10.072529930562997]"
0,195,"[0.18360473324973225, -9.703109123595596, -0.18360473324973234, 9.703109123595596]"
0,196,"[0.19398953232896976, -10.251923072500714, -0.19398953232896987, 10.251923072500714]"
0,197,"[0.14292929120994416, -7.553500854914825, -0.14292929120994424, 7.553500854914825]"
0,198,"[0.1524223831242082, -8.055190027813973, -0.15242238312420828, 8.055190027813973]"
0,199,"[0.058090801605609615, -3.0699719831824885, -0.05809080160560964, 3.0699719831824885]"
0,200,"[0.08457347792332162, -4.469523583228154, -0.08457347792332166, 4.469523583228154]"
0,201,"[0.12853314028990273, -6.7926957228003095, -0.12853314028990281, 6.7926957228003095]"
0,202,"[0.1437710910822401, -7.597988139510077, -0.14377109108224018, 7.597988139510077]"
0,203,"[0.16100866475691603, -8.508956257983915, -0.1610086647569161, 8.508956257983915]"
0,204,"[0.18313299968692914, -9.67817903515983, -0.18313299968692925, 9.67817903515983]"
0,205,"[0.1586971722324747, -8.38679892681902, -0.1586971722324748, 8.38679892681902]"
0,206,"[0.18437030399567025, -9.743567865362156, -0.18437030399567036, 9.743567865362156]"
0,207,"[0.21071138928198813, -11.135636688661151, -0.21071138928198824, 11.135636688661151]"
0,208,"[0.5130434858521019, -7.510964950628423, -0.5130434858521024, 7.510964950628423]"
0,209,"[0.5990078559332426, -8.769484722319726, -0.5990078559332431, 8.769484722319726]"
0,210,"[0.6860436067185848, -10.043689524890375, -0.6860436067185853, 10.043689524890375]"
0,211,"[0.2389579245930468, -10.79127729074592, -0.23895792459304718, 10.79127729074592]"
0,212,"[0.2708430147526766, -12.231199611543527, -0.270843014752677, 12.231199611543527]"
0,213,"[0.2941936405356228, -13.28570775629474, -0.29419364053562325, 13.28570775629474]"
0,214,"[0.32822289490163403, -14.822459971088785, -0.32822289490163453, 14.822459971088785]"
0,215,"[0.31744136428425945, -14.335568872126915, -0.31744136428425995, 14.335568872126915]"
0,216,"[0.33552576374000703, -15.152255615184044, -0.33552576374000753, 15.152255615184044]"
0,217,"[1.1366888157243575, -16.64114269085208, -1.1366888157243584, 16.64114269085208]"
0,218,"[1.2444335483779785, -18.218527323720156, -1.2444335483779794, 18.218527323720156]"
0,219,"[1.4220424198594386, -20.81872408170507, -1.4220424198594397, 20.81872408170507]"
0,220,"[1.526058040511409, -22.341514454410497, -1.5260580405114101, 22.341514454410497]"
0,221,"[1.5418711393198927, -22.573018477337676, -1.5418711393198938, 22.573018477337676]"
0,222,"[1.4272892527994236, -20.895537801011105, -1.4272892527994248, 20.895537801011105]"
0,223,"[0.47543705169814204, -21.470612736141266, -0.47543705169814277, 21.470612736141266]"
0,224,"[0.4774148725923507, -21.559930609725853, -0.4774148725923515, 21.559930609725853]"
0,225,"[0.5068018236809217, -22.887037624345385, -0.5068018236809225, 22.887037624345385]"
0,226,"[1.4169945949231573, -21.70224118733325, -1.4169945949231595, 21.70224118733325]"
0,227,"[1.535114948209322, -23.511335170707532, -1.5351149482093247, 23.511335170707532]"
0,228,"[1.594339966762062, -24.418406828962905, -1.5943399667620646, 24.418406828962905]"
0,229,"[1.7232800115210753, -26.393211785941165, -1.7232800115210782, 26.393211785941165]"
0,230,"[2.099981412146532, -27.268339806784603, -2.0999814121465303, 27.268339806784603]"
0,231,"[2.221290621187566, -28.843544575117267, -2.2212906211875643, 28.843544575117267]"
0,232,"[1.6265740296734452, -21.121126646873158, -1.6265740296734439, 21.121126646873158]"
0,233,"[1.4431634880192346, -22.103035679853814, -1.443163488019237, 22.103035679853814]"
0,234,"[1.518365056745383, -23.254799129063866, -1.5183650567453857, 23.254799129063866]"
0,235,"[1.3485372834183724, -20.653770649311323, -1.3485372834183746, 20.653770649311323]"
0,236,"[1.4585480214553794, -22.33866032964573, -1.4585480214553819, 22.33866032964573]"
0,237,"[1.5685238302336304, -24.023015044497043, -1.568523830233633, 24.023015044497043]"
0,238,"[1.476219293097233, -22.6093079387703, -1.4762192930972355, 22.6093079387703]"
0,239,"[1.5021152475211246, -23.00592218888603, -1.5021152475211272, 23.00592218888603]"
0,240,"[1.6077991690532196, -24.62454371569369, -1.6077991690532225, 24.62454371569369]"
0,241,"[1.2911471187599042, -19.77480103315242, -1.2911471187599064, 19.77480103315242]"
0,242,"[1.3793195956896513, -21.125222811238118, -1.3793195956896538, 21.125222811238118]"
0,243,"[1.4865206027034714, -22.767079539608414, -1.486520602703474, 22.767079539608414]"
0,244,"[1.378388816730957, -21.11096729500252, -1.3783888167309593, 21.11096729500252]"
0,245,"[1.3864327244093897, -21.234165241664734, -1.386432724409392, 21.234165241664734]"
