i,j,goalCurrent
0,29,"[82.75270738313834, -0.7223615963741912, -68.06316746871865, -2.4518324923261505]"
0,30,"[81.04074632918149, -0.8022972964111771, -69.6445873101233, -2.44233570381017]"
0,31,"[80.9066200835414, -0.8085599828863125, -69.76848610187332, -2.4415916631753998]"
0,32,"[80.7947539137445, -0.8137832913094237, -69.87182220294285, -2.440971106209926]"
0,33,"[78.97140136336077, -0.9623445269784217, -71.45220989001383, -2.4314805160172277]"
0,34,"[77.91983709838885, -1.0106695693030292, -72.42469444224076, -2.4256405234448852]"
0,35,"[77.45025322020624, -1.0322494779629467, -72.85896468393595, -2.423032631134327]"
0,36,"[77.75943198536115, -1.0180410482837783, -72.57303677348368, -2.424749693754441]"
0,37,"[76.74870307755072, -1.0644894859833491, -73.50775686818096, -2.419136485402955]"
0,38,"[75.86724482554355, -1.0438608900337454, -74.4235966856462, -2.413636657442496]"
0,39,"[75.41208173334527, -1.0651135816891864, -74.84405248013627, -2.4111117240528626]"
0,40,"[75.90306646846965, -1.1033510432712161, -74.28979993156982, -2.414440137609065]"
0,41,"[77.63645707595504, -0.9612519898933001, -72.78929119137682, -2.4234510364222084]"
0,42,"[77.85943864338675, -0.9508404284580675, -72.58331251318845, -2.4246879855829184]"
0,43,"[78.24432093983042, -0.9328693211557378, -72.22777843208618, -2.4268230492074228]"
0,44,"[78.83072481173524, -0.9688093722930021, -71.58230728669557, -2.4306992513394876]"
0,45,"[79.45548844498717, -0.8763169117636055, -71.10896540798585, -2.4335417777832378]"
0,46,"[80.21686542074123, -0.8407663357687397, -70.40564528661788, -2.437765376271627]"
0,47,"[80.49498294450426, -0.8277803400282595, -70.1487349034613, -2.4393081819912203]"
0,48,"[80.12648189305357, -0.8449865664456155, -70.48913684951944, -2.4372639903050515]"
0,49,"[82.36785992059146, -0.7403310771956391, -68.41866937209385, -2.449697621936271]"
0,50,"[82.2749142512706, -0.7446709406086515, -68.50452770706994, -2.449182022961063]"
0,51,"[82.53016933140148, -0.7987999692108403, -68.16106831249736, -2.4512445753261485]"
0,52,"[82.87410250184388, -0.7835633257355517, -67.85444881058413, -2.45308589569428]"
0,53,"[84.43103097694036, -0.6439965126305658, -66.5128201489583, -2.461142683229665]"
0,54,"[85.02592937330641, -0.6841063516406953, -65.85299436241634, -2.4651050882710828]"
0,55,"[85.2449776470104, -0.6059913274574331, -65.76093890088964, -2.4656579024112437]"
0,56,"[84.85120450583682, -0.6921359004727443, -66.01457957424229, -2.464134732048248]"
0,57,"[85.93565237287355, -0.573742014552727, -65.12292981013832, -2.469489293195336]"
0,58,"[85.71797284024723, -0.6528703041564603, -65.22440570134492, -2.468879907216339]"
0,59,"[86.82155465273863, -0.6715335659843066, -64.09138246456193, -2.475683971375458]"
0,60,"[86.75354300438633, -0.6746088595094184, -64.15435201677442, -2.475305824785507]"
0,61,"[87.6672170741435, -0.49289097168850315, -63.52340114741836, -2.4790948293327912]"
0,62,"[87.50303585823677, -0.5708358750969679, -63.57355944910087, -2.4787936172378577]"
0,63,"[87.9227803290755, -0.4809580905990052, -63.28732521499612, -2.480512519401696]"
0,64,"[87.97613626876812, -0.6193266653428798, -63.02239664940374, -2.482103476144112]"
0,65,"[87.76684376576124, -0.488239154803752, -63.43137123441675, -2.479647490048205]"
0,66,"[88.67144911297352, -0.516575082670359, -62.481624918096855, -2.4853509343036606]"
0,67,"[88.5053245895385, -0.5242093993674614, -62.6352565487713, -2.484428341158133]"
0,68,"[88.71566036960787, -0.5151084534589846, -62.45211073283601, -2.4855281737490658]"
0,69,"[88.22778585444276, -0.46671662749502285, -63.005577106042935, -2.482204481356042]"
0,70,"[87.93188293780119, -0.5511277611696962, -63.17695687151677, -2.481175306594217]"
0,71,"[88.8723194289772, -0.578803808792944, -62.19265272074005, -2.4870862785642074]"
0,72,"[87.96877479376577, -0.6196595303293703, -63.0292123757646, -2.482062546145551]"
0,73,"[87.95908136361295, -0.5498778292007404, -63.15180346300077, -2.4813263585760366]"
0,74,"[87.6566771546589, -0.5637751293950353, -63.431470259065435, -2.4796468953825]"
0,75,"[87.34356991470243, -0.5781642985198039, -63.72103533795814, -2.477907990732476]"
0,76,"[87.14378332554578, -0.5873456991818756, -63.90580021103769, -2.4767984353324]"
0,77,"[86.33916458195233, -0.6243227910694198, -64.6499206280539, -2.4723298217196166]"
0,78,"[86.02362909682229, -0.6388235527286953, -64.94173137525294, -2.4705774313168387]"
