i,j,f_learnt
0,93,"[-0.7281962826671429, 36.277952484530275, 0.7281962826671454, -36.277952484530275]"
0,94,"[-0.7129464715739213, 35.51822336285494, 0.7129464715739238, -35.51822336285494]"
0,95,"[-0.6975523062081284, 34.751302667196136, 0.6975523062081308, -34.751302667196136]"
0,96,"[-0.7310962752872544, 36.422426985406005, 0.731096275287257, -36.422426985406005]"
0,97,"[-0.7177089554331976, 35.75548516611814, 0.7177089554332001, -35.75548516611814]"
0,98,"[-0.7163779748984849, 35.689177153092736, 0.7163779748984873, -35.689177153092736]"
0,99,"[-0.7070669995658336, 35.22531441615955, 0.7070669995658361, -35.22531441615955]"
0,100,"[-0.699582969778697, 34.852468133539, 0.6995829697786995, -34.852468133539]"
0,101,"[-0.6833301638138608, 34.042770890409656, 0.6833301638138631, -34.042770890409656]"
0,102,"[-0.6570790336912861, 32.73496793409149, 0.6570790336912884, -32.73496793409149]"
0,103,"[-0.6303018321912368, 31.4009566698078, 0.630301832191239, -31.4009566698078]"
0,104,"[-0.6491374451034346, 32.3393265660986, 0.6491374451034368, -32.3393265660986]"
0,105,"[-0.6157870156081, 30.6778441809661, 0.6157870156081021, -30.6778441809661]"
0,106,"[-0.5988284776440348, 29.832988131695828, 0.5988284776440368, -29.832988131695828]"
0,107,"[-0.5205204720045651, 25.93176784896945, 0.520520472004567, -25.93176784896945]"
0,108,"[-0.5793735509230487, 28.863764690196103, 0.5793735509230507, -28.863764690196103]"
0,109,"[-0.5854536833518067, 29.166670322372973, 0.5854536833518087, -29.166670322372973]"
0,110,"[-0.5922765689696871, 29.506579116395187, 0.592276568969689, -29.506579116395187]"
0,111,"[-0.581278252584347, 28.958654870234792, 0.5812782525843491, -28.958654870234792]"
0,112,"[-0.591242839293092, 29.45507982014499, 0.591242839293094, -29.45507982014499]"
0,113,"[-0.5733112466028373, 28.561747235135957, 0.5733112466028393, -28.561747235135957]"
0,114,"[-0.5452700117995434, 27.16476319660791, 0.5452700117995453, -27.16476319660791]"
0,115,"[-0.5434320200907591, 27.07319643436901, 0.543432020090761, -27.07319643436901]"
0,116,"[-0.5040133544583238, 25.10940107746421, 0.5040133544583256, -25.10940107746421]"
0,117,"[-0.4726412811460444, 23.546478261110995, 0.4726412811460461, -23.546478261110995]"
0,118,"[-0.43187357021619177, 21.515474924209457, 0.43187357021619327, -21.515474924209457]"
0,119,"[-0.4562694345857657, 22.730850544058637, 0.45626943458576724, -22.730850544058637]"
0,120,"[-0.4550762185107339, 22.671405807654278, 0.45507621851073543, -22.671405807654278]"
0,121,"[-0.4438059131817377, 22.109931366018927, 0.4438059131817392, -22.109931366018927]"
0,122,"[-0.46182077876906996, 23.00741251684097, 0.4618207787690715, -23.00741251684097]"
0,123,"[-0.45039078017380885, 22.437982329119635, 0.4503907801738104, -22.437982329119635]"
0,124,"[-0.4326881232822502, 21.55605507839311, 0.4326881232822517, -21.55605507839311]"
0,125,"[-0.4131290698301576, 20.58164415558737, 0.41312906983015907, -20.58164415558737]"
0,126,"[-0.46450263994511815, 23.141019944715268, 0.46450263994511976, -23.141019944715268]"
0,127,"[-0.45857110099959003, 22.845517079419306, 0.45857110099959164, -22.845517079419306]"
0,128,"[-0.5415282381837717, 26.97835207549693, 0.5415282381837735, -26.97835207549693]"
0,129,"[-0.5078136020093517, 25.298725306888564, 0.5078136020093533, -25.298725306888564]"
