i,j,f_learnt
0,308,"[5.202631423883981, -79.84150178718807, -5.202631423883978, 79.84150178718807]"
0,309,"[5.347247154111448, -82.06082815161311, -5.347247154111446, 82.06082815161311]"
0,310,"[5.422715667924761, -83.21899581516128, -5.422715667924758, 83.21899581516128]"
0,311,"[5.548087477595098, -85.14299787302463, -5.548087477595096, 85.14299787302463]"
0,312,"[5.257128828000866, -80.6778390622486, -5.257128828000863, 80.6778390622486]"
0,313,"[5.388446073925795, -82.6930819789526, -5.388446073925793, 82.6930819789526]"
0,314,"[5.802316164770416, -84.54805480216794, -5.802316164770416, 84.54805480216794]"
0,315,"[5.915433532718435, -86.19633682485646, -5.915433532718435, 86.19633682485646]"
0,316,"[6.014810076805726, -87.64439536853888, -6.014810076805726, 87.64439536853888]"
0,317,"[6.142657591859872, -89.50731672652155, -6.142657591859872, 89.50731672652155]"
0,318,"[6.0683891418227525, -88.42511906519178, -6.0683891418227525, 88.42511906519178]"
0,319,"[6.200580388846348, -90.35133481771794, -6.200580388846348, 90.35133481771794]"
0,320,"[7.389920505600871, -91.52194319759018, -7.389920505600879, 91.52194319759018]"
0,321,"[7.545825655306832, -93.45278159359, -7.545825655306839, 93.45278159359]"
0,322,"[7.5513450574229, -93.52113772902727, -7.551345057422908, 93.52113772902727]"
0,323,"[6.220678340028096, -95.46482545790104, -6.220678340028093, 95.46482545790104]"
0,324,"[6.245501597957202, -95.84577233474725, -6.245501597957199, 95.84577233474725]"
0,325,"[6.366081283540676, -97.69623268790913, -6.366081283540673, 97.69623268790913]"
0,326,"[6.407239150631584, -99.58630706281434, -6.407239150631584, 99.58630706281434]"
0,327,"[6.435248834603809, -100.02165541226927, -6.435248834603809, 100.02165541226927]"
0,328,"[6.481711549825799, -100.74381516255939, -6.481711549825799, 100.74381516255939]"
0,329,"[6.585311490410797, -102.35404622343215, -6.585311490410797, 102.35404622343215]"
0,330,"[6.373739481314182, -99.06562908018955, -6.373739481314182, 99.06562908018955]"
0,331,"[6.497218745810285, -100.98484009462268, -6.497218745810285, 100.98484009462268]"
0,332,"[6.630183879218292, -103.05148788049667, -6.630183879218292, 103.05148788049667]"
0,333,"[6.596689075312916, -102.41899244240346, -6.596689075312915, 102.41899244240346]"
0,334,"[6.715670202977694, -104.26627174812236, -6.715670202977693, 104.26627174812236]"
0,335,"[6.728479656753091, -104.46514899312145, -6.728479656753089, 104.46514899312145]"
0,336,"[6.872648434506808, -106.7034871640755, -6.872648434506806, 106.7034871640755]"
0,337,"[7.101986669797649, -110.26415081198171, -7.101986669797648, 110.26415081198171]"
0,338,"[7.222005274044102, -112.12753779004423, -7.2220052740441005, 112.12753779004423]"
0,339,"[7.902030255584197, -109.40822251772197, -7.902030255584197, 109.40822251772197]"
0,340,"[8.092920226745761, -112.05120562025908, -8.092920226745761, 112.05120562025908]"
0,341,"[8.090030685405333, -112.0111982333316, -8.090030685405333, 112.0111982333316]"
0,342,"[8.205274885933788, -113.60682147539447, -8.205274885933788, 113.60682147539447]"
0,343,"[8.350684359936805, -115.62010054081749, -8.350684359936805, 115.62010054081749]"
0,344,"[8.495144188662978, -117.62023121292876, -8.495144188662978, 117.62023121292876]"
0,345,"[9.708926647021407, -115.86480464179174, -9.708926647021407, 115.86480464179174]"
0,346,"[9.644967746291753, -115.10152917298194, -9.644967746291753, 115.10152917298194]"
0,347,"[9.508293522156242, -113.47048046340211, -9.50829352215624, 113.47048046340211]"
0,348,"[9.68578008565028, -115.58857721636177, -9.685780085650277, 115.58857721636177]"
0,349,"[9.474698278423359, -113.06956010489904, -9.474698278423357, 113.06956010489904]"
0,350,"[9.618162954727817, -114.78164500339946, -9.618162954727815, 114.78164500339946]"
0,351,"[9.784183387227099, -116.76290675121344, -9.784183387227099, 116.76290675121344]"
0,352,"[9.518555656208724, -113.5929471582724, -9.518555656208722, 113.5929471582724]"
0,353,"[8.792264352124807, -104.92550088741895, -8.792264352124805, 104.92550088741895]"
0,354,"[8.95515925936422, -106.86946310802422, -8.955159259364219, 106.86946310802422]"
0,355,"[9.003383749209844, -107.44496659034041, -9.003383749209842, 107.44496659034041]"
0,356,"[9.0469615703636, -107.9650174588104, -9.046961570363598, 107.9650174588104]"
0,357,"[9.195677840852891, -109.73977405691323, -9.19567784085289, 109.73977405691323]"
0,358,"[6.788818447138229, -105.28705610415068, -6.788818447138232, 105.28705610415068]"
0,359,"[6.992748128600254, -108.44977962969213, -6.992748128600256, 108.44977962969213]"
0,360,"[6.818483122334296, -105.74712236545957, -6.818483122334299, 105.74712236545957]"
0,361,"[7.794578223776263, -107.65079551317395, -7.7945782237762735, 107.65079551317395]"
0,362,"[7.919492976561239, -109.3759911713066, -7.91949297656125, 109.3759911713066]"
0,363,"[8.087978977364351, -111.70294864078993, -8.087978977364362, 111.70294864078993]"
0,364,"[12.174192160680576, -109.27622121818185, -12.174192160680567, 109.27622121818185]"
0,365,"[11.78301967341734, -105.76503536794516, -11.783019673417332, 105.76503536794516]"
0,366,"[11.823649233722973, -106.12972854523011, -11.823649233722966, 106.12972854523011]"
0,367,"[9.092550439927393, -104.45339175749946, -9.092550439927397, 104.45339175749946]"
0,368,"[9.200965767179287, -105.69884524437064, -9.20096576717929, 105.69884524437064]"
0,369,"[9.349170480093774, -107.4013911956569, -9.349170480093775, 107.4013911956569]"
0,370,"[9.345440813391258, -107.35854553427988, -9.345440813391262, 107.35854553427988]"
0,371,"[9.006678321311425, -103.46691012002044, -9.006678321311428, 103.46691012002044]"
0,372,"[9.111450467783278, -104.6705114784074, -9.111450467783282, 104.6705114784074]"
0,373,"[8.904904947779965, -102.29775806238843, -8.904904947779967, 102.29775806238843]"
0,374,"[8.975169990250182, -103.10494874628827, -8.975169990250183, 103.10494874628827]"
0,375,"[9.116538311428833, -104.72895960349851, -9.116538311428837, 104.72895960349851]"
0,376,"[9.65933613975778, -106.77359832133897, -9.659336139757777, 106.77359832133897]"
0,377,"[9.551699573487346, -105.58379155559825, -9.551699573487342, 105.58379155559825]"
0,378,"[9.701299988313945, -107.23746364758134, -9.701299988313941, 107.23746364758134]"
0,379,"[12.056926780610286, -107.74384654606409, -12.056926780610297, 107.74384654606409]"
0,380,"[12.174722005259976, -108.79649543739897, -12.174722005259987, 108.79649543739897]"
0,381,"[12.43627030815335, -111.13375937904007, -12.436270308153363, 111.13375937904007]"
0,382,"[12.636224239815032, -112.92059993312594, -12.636224239815043, 112.92059993312594]"
0,383,"[12.683670594481129, -113.3445929496992, -12.68367059448114, 113.3445929496992]"
0,384,"[12.592482603929207, -112.52971325111213, -12.592482603929218, 112.52971325111213]"
0,385,"[12.817551914752192, -114.54099139261483, -12.817551914752203, 114.54099139261483]"
0,386,"[11.467351984620189, -116.29260120897392, -11.467351984620194, 116.29260120897392]"
0,387,"[11.66283209475124, -118.27500224822391, -11.662832094751245, 118.27500224822391]"
0,388,"[11.828771822039917, -119.95782863710511, -11.828771822039922, 119.95782863710511]"
0,389,"[12.026570168530421, -121.96373935294126, -12.026570168530425, 121.96373935294126]"
0,390,"[11.730722735929108, -118.96349417477403, -11.730722735929113, 118.96349417477403]"
0,391,"[11.859113632200996, -120.26553071459895, -11.859113632201002, 120.26553071459895]"
0,392,"[9.316487688691089, -120.56548809352006, -9.316487688691085, 120.56548809352006]"
0,393,"[9.454795149027795, -122.35533712457836, -9.454795149027793, 122.35533712457836]"
0,394,"[9.59697848906369, -124.19534425634359, -9.596978489063687, 124.19534425634359]"
0,395,"[13.943592406143345, -124.10945530986565, -13.943592406143338, 124.10945530986565]"
0,396,"[14.0360466089396, -124.9323738530881, -14.036046608939591, 124.9323738530881]"
0,397,"[14.037428644372728, -124.94467510658349, -14.037428644372719, 124.94467510658349]"
0,398,"[13.961857442889942, -124.2160498287795, -13.961857442889952, 124.2160498287795]"
0,399,"[14.141041833922175, -125.81022004116296, -14.141041833922186, 125.81022004116296]"
0,400,"[14.340955973832443, -127.58881897516207, -14.340955973832454, 127.58881897516207]"
0,401,"[12.88670418506384, -129.88845601991352, -12.886704185063834, 129.88845601991352]"
0,402,"[12.963862828371104, -130.66615813085264, -12.963862828371099, 130.66615813085264]"
0,403,"[12.893396524315989, -129.95590985451233, -12.893396524315984, 129.95590985451233]"
0,404,"[15.726236956966936, -133.06378711926212, -15.72623695696694, 133.06378711926212]"
0,405,"[15.933274692317879, -134.8155873253621, -15.933274692317884, 134.8155873253621]"
0,406,"[16.203922043668502, -137.10560506088638, -16.20392204366851, 137.10560506088638]"
0,407,"[16.368552623763318, -138.49858728053633, -16.36855262376332, 138.49858728053633]"
0,408,"[9.11513846549585, -139.86272370108145, -9.11513846549585, 139.86272370108145]"
0,409,"[9.172427465474314, -140.74176636241125, -9.172427465474314, 140.74176636241125]"
0,410,"[9.128510536615261, -140.0679048176783, -9.128510536615261, 140.0679048176783]"
0,411,"[9.67762330422069, -140.1754128097821, -9.677623304220697, 140.1754128097821]"
0,412,"[9.825848622740537, -142.32238056821092, -9.825848622740544, 142.32238056821092]"
0,413,"[9.949314888581926, -144.11072614008813, -9.949314888581931, 144.11072614008813]"
0,414,"[7.407557709587653, -145.5204378077593, -7.407557709587644, 145.5204378077593]"
0,415,"[7.517085469595598, -147.67209537336015, -7.517085469595589, 147.67209537336015]"
0,416,"[7.663735858948694, -150.5530218136253, -7.6637358589486855, 150.5530218136253]"
0,417,"[9.953991914077276, -152.734094613192, -9.953991914077276, 152.734094613192]"
0,418,"[10.102718674343658, -155.01615866047277, -10.102718674343658, 155.01615866047277]"
0,419,"[10.199870422374127, -156.5068554988475, -10.199870422374127, 156.5068554988475]"
0,420,"[10.304264474387136, -158.10867828058593, -10.304264474387136, 158.10867828058593]"
0,421,"[10.457136648830211, -160.4543495807698, -10.457136648830211, 160.4543495807698]"
0,422,"[10.415371154139704, -159.81349965114453, -10.415371154139704, 159.81349965114453]"
0,423,"[12.679906924495038, -160.8252535909775, -12.679906924495047, 160.8252535909775]"
0,424,"[12.844850115652433, -162.9173060566583, -12.844850115652442, 162.9173060566583]"
0,425,"[13.02081489707207, -165.14915056178043, -13.02081489707208, 165.14915056178043]"
0,426,"[8.508372463681242, -167.07997465858196, -8.508372463681239, 167.07997465858196]"
0,427,"[8.618906893294657, -169.25055308325045, -8.618906893294653, 169.25055308325045]"
0,428,"[8.58286305527168, -168.54275572609626, -8.582863055271677, 168.54275572609626]"
0,429,"[15.620970317137624, -169.4434959283036, -15.620970317137628, 169.4434959283036]"
0,430,"[15.830773127358421, -171.71926503212126, -15.830773127358427, 171.71926503212126]"
0,431,"[16.0344127444699, -173.92818086336217, -16.034412744469904, 173.92818086336217]"
0,432,"[15.60441174353397, -169.26388207961, -15.604411743533975, 169.26388207961]"
0,433,"[15.697567346567302, -170.27435778776496, -15.697567346567308, 170.27435778776496]"
0,434,"[15.712909150892408, -170.44077311958605, -15.712909150892413, 170.44077311958605]"
0,435,"[15.43016873303073, -167.37383656762603, -15.430168733030735, 167.37383656762603]"
0,436,"[15.571732271140917, -168.90940192025036, -15.571732271140922, 168.90940192025036]"
0,437,"[15.772351344236089, -171.08555336315067, -15.772351344236094, 171.08555336315067]"
0,438,"[15.284594125924476, -165.79476242269845, -15.284594125924482, 165.79476242269845]"
0,439,"[13.310200720958312, -167.4517722590687, -13.310200720958298, 167.4517722590687]"
0,440,"[13.172338868719615, -165.7173723076136, -13.172338868719601, 165.7173723076136]"
0,441,"[12.943863276932134, -162.84298719766474, -12.94386327693212, 162.84298719766474]"
0,442,"[12.992231156050073, -163.45148944706793, -12.992231156050059, 163.45148944706793]"
0,443,"[13.15959710387306, -165.5570718621136, -13.159597103873047, 165.5570718621136]"
0,444,"[13.38323357700768, -168.37057742474522, -13.383233577007665, 168.37057742474522]"
0,445,"[15.582700194557907, -168.12712175238775, -15.582700194557901, 168.12712175238775]"
0,446,"[15.78524116495785, -170.3124060718647, -15.785241164957844, 170.3124060718647]"
0,447,"[15.741756514979885, -169.8432351996844, -15.74175651497988, 169.8432351996844]"
0,448,"[15.553526281959687, -167.81235435686878, -15.553526281959684, 167.81235435686878]"
0,449,"[15.592049495825467, -168.22799458526558, -15.592049495825462, 168.22799458526558]"
0,450,"[15.783101830499243, -170.28932405523727, -15.783101830499238, 170.28932405523727]"
0,451,"[13.754629596869346, -165.55813256205872, -13.754629596869332, 165.55813256205872]"
0,452,"[13.750623920650387, -165.50991808490477, -13.750623920650375, 165.50991808490477]"
0,453,"[13.774611221469167, -165.79864216146333, -13.774611221469153, 165.79864216146333]"
0,454,"[13.345150270635555, -160.62941877179665, -13.345150270635543, 160.62941877179665]"
0,455,"[13.458915822311521, -161.99876224649498, -13.458915822311507, 161.99876224649498]"
0,456,"[13.657543921990813, -164.38955707129628, -13.657543921990799, 164.38955707129628]"
0,457,"[13.551642786704488, -163.1148739494624, -13.551642786704473, 163.1148739494624]"
0,458,"[13.253350365566632, -165.3548215530339, -13.25335036556664, 165.3548215530339]"
0,459,"[12.6118789549265, -157.35153274589933, -12.611878954926507, 157.35153274589933]"
0,460,"[12.4180792444895, -154.93359949487797, -12.418079244489507, 154.93359949487797]"
0,461,"[12.48633474091173, -155.78518608389885, -12.486334740911737, 155.78518608389885]"
0,462,"[12.592713958291743, -157.1124215392087, -12.59271395829175, 157.1124215392087]"
0,463,"[11.939377156054267, -148.96109471480924, -11.939377156054274, 148.96109471480924]"
0,464,"[14.01540908873506, -150.39871839724046, -14.015409088735057, 150.39871839724046]"
0,465,"[14.13385236912038, -151.66972785974946, -14.133852369120374, 151.66972785974946]"
0,466,"[13.812433310774095, -148.22059454243634, -13.812433310774091, 148.22059454243634]"
0,467,"[12.464338183910192, -149.1058268245048, -12.464338183910192, 149.1058268245048]"
0,468,"[12.594450734910971, -150.66231054718332, -12.594450734910971, 150.66231054718332]"
0,469,"[12.790028758379888, -153.0019311887092, -12.790028758379888, 153.0019311887092]"
0,470,"[11.929651645125707, -142.70958842972925, -11.929651645125707, 142.70958842972925]"
0,471,"[12.10549992649156, -144.81319016147384, -12.10549992649156, 144.81319016147384]"
0,472,"[11.808667055124527, -141.26229880560493, -11.808667055124527, 141.26229880560493]"
0,473,"[11.153772967126056, -138.0328851115702, -11.153772967126045, 138.0328851115702]"
0,474,"[11.141717372079324, -137.8836917784316, -11.141717372079315, 137.8836917784316]"
0,475,"[11.30914653714845, -139.9557019201503, -11.309146537148441, 139.9557019201503]"
0,476,"[7.328364104758174, -136.43922849554878, -7.328364104758183, 136.43922849554878]"
0,477,"[7.435960723349311, -138.4424586052226, -7.435960723349321, 138.4424586052226]"
0,478,"[7.274533201372301, -135.43700660507008, -7.27453320137231, 135.43700660507008]"
0,479,"[5.534063725666095, -127.40352700183055, -5.534063725666107, 127.40352700183055]"
0,480,"[5.65761087855786, -130.24779186933546, -5.657610878557873, 130.24779186933546]"
0,481,"[5.741100167739848, -132.16985681761733, -5.7411001677398605, 132.16985681761733]"
0,482,"[5.619834909803763, -129.37812503972125, -5.619834909803775, 129.37812503972125]"
0,483,"[6.312610492056593, -130.54008248558927, -6.3126104920565815, 130.54008248558927]"
0,484,"[5.927197852281095, -122.57003620274138, -5.9271978522810835, 122.57003620274138]"
0,485,"[5.629846557579984, -116.42103293597498, -5.629846557579973, 116.42103293597498]"
0,486,"[6.251144535389591, -116.29673356136165, -6.251144535389596, 116.29673356136165]"
0,487,"[6.366461818741458, -118.44210442921924, -6.366461818741461, 118.44210442921924]"
0,488,"[6.117718303802865, -113.81446254409568, -6.117718303802868, 113.81446254409568]"
0,489,"[4.982311475660042, -115.01960644089307, -4.9823114756600475, 115.01960644089307]"
0,490,"[4.972661231444117, -114.79682484700903, -4.972661231444122, 114.79682484700903]"
0,491,"[5.042229731233683, -116.40285480028875, -5.042229731233689, 116.40285480028875]"
0,492,"[5.04345903875469, -116.43123409129689, -5.043459038754695, 116.43123409129689]"
0,493,"[5.116051745937547, -118.10707966045514, -5.116051745937551, 118.10707966045514]"
0,494,"[5.1278757659037435, -118.38004415288104, -5.127875765903749, 118.38004415288104]"
0,495,"[5.122551650494983, -118.2571338005369, -5.122551650494988, 118.2571338005369]"
0,496,"[5.226429062646166, -120.65520528243772, -5.2264290626461705, 120.65520528243772]"
0,497,"[5.10498172870698, -117.85152176702073, -5.104981728706984, 117.85152176702073]"
0,498,"[6.838860528680809, -115.17180377841936, -6.8388605286808115, 115.17180377841936]"
0,499,"[6.91025891776487, -116.37420894857875, -6.910258917764874, 116.37420894857875]"
0,500,"[6.9939771922061595, -117.78409070244454, -6.993977192206163, 117.78409070244454]"
0,501,"[5.781814821123196, -112.89364143038264, -5.781814821123199, 112.89364143038264]"
0,502,"[5.895363292123252, -115.11074812899504, -5.895363292123257, 115.11074812899504]"
0,503,"[5.888269478001775, -114.9722368600284, -5.888269478001779, 114.9722368600284]"
0,504,"[6.833805597178247, -112.44498361434546, -6.833805597178257, 112.44498361434546]"
0,505,"[6.99133315703288, -115.03697772871946, -6.991333157032891, 115.03697772871946]"
0,506,"[7.110132096692102, -116.99172236308522, -7.110132096692113, 116.99172236308522]"
0,507,"[7.066197712590559, -116.268816065832, -7.0661977125905695, 116.268816065832]"
0,508,"[7.177862403489921, -118.1061721568019, -7.177862403489931, 118.1061721568019]"
0,509,"[6.546698436503162, -107.7208574274663, -6.5466984365031715, 107.7208574274663]"
0,510,"[6.507591908408003, -107.07738976536454, -6.507591908408012, 107.07738976536454]"
0,511,"[6.373598127759127, -104.87262577914458, -6.373598127759137, 104.87262577914458]"
0,512,"[6.492389567931706, -106.82724701526017, -6.492389567931716, 106.82724701526017]"
0,513,"[6.579728094353533, -108.26433489151738, -6.579728094353543, 108.26433489151738]"
0,514,"[3.3573334125064798, -110.73260397540844, -3.3573334125064695, 110.73260397540844]"
0,515,"[3.5077598067342586, -115.69401361003797, -3.507759806734248, 115.69401361003797]"
0,516,"[3.2800971169511026, -108.18517270260074, -3.280097116951093, 108.18517270260074]"
0,517,"[5.658665741747934, -110.44583301037984, -5.658665741747927, 110.44583301037984]"
0,518,"[5.745318753525539, -112.13712641865234, -5.745318753525532, 112.13712641865234]"
0,519,"[5.875271640898725, -114.67354676102129, -5.875271640898718, 114.67354676102129]"
0,520,"[6.135657573859664, -114.51141338305167, -6.13565757385967, 114.51141338305167]"
0,521,"[6.29338363265923, -117.45509687631335, -6.293383632659236, 117.45509687631335]"
0,522,"[6.445882946983626, -120.30123224371582, -6.445882946983632, 120.30123224371582]"
0,523,"[3.965154629283896, -122.18753442588178, -3.9651546292838953, 122.18753442588178]"
0,524,"[3.986912478253298, -122.85800964527117, -3.986912478253297, 122.85800964527117]"
0,525,"[4.035382006199989, -124.35161397304542, -4.035382006199988, 124.35161397304542]"
0,526,"[4.132782944160295, -127.3530556752792, -4.132782944160294, 127.3530556752792]"
0,527,"[4.2045714989064935, -129.56524342696332, -4.204571498906493, 129.56524342696332]"
0,528,"[4.041605466585002, -124.54339193661482, -4.041605466585001, 124.54339193661482]"
0,529,"[4.135761285562357, -127.44483423793824, -4.1357612855623564, 127.44483423793824]"
0,530,"[4.185250408112671, -128.96985770629544, -4.18525040811267, 128.96985770629544]"
0,531,"[4.249981962919785, -130.96458170092146, -4.249981962919784, 130.96458170092146]"
0,532,"[4.247082791947412, -130.87524280090048, -4.2470827919474115, 130.87524280090048]"
0,533,"[4.318765929326771, -133.0841820820093, -4.31876592932677, 133.0841820820093]"
0,534,"[4.294862079134132, -132.3475771343098, -4.294862079134131, 132.3475771343098]"
0,535,"[4.176803061543229, -128.70954996390924, -4.176803061543228, 128.70954996390924]"
0,536,"[6.67152357286285, -130.5981441754074, -6.6715235728628555, 130.5981441754074]"
0,537,"[6.715810837107836, -131.46508775401176, -6.715810837107841, 131.46508775401176]"
0,538,"[6.8110316677378036, -133.3290793342406, -6.811031667737808, 133.3290793342406]"
0,539,"[6.930908373131142, -135.6757210096014, -6.930908373131146, 135.6757210096014]"
0,540,"[7.043428331578798, -137.87835097792393, -7.043428331578802, 137.87835097792393]"
0,541,"[6.680766534694513, -130.77907940687527, -6.680766534694517, 130.77907940687527]"
0,542,"[7.344326405739777, -131.95605863243426, -7.344326405739769, 131.95605863243426]"
0,543,"[7.426064903246345, -133.42466029494676, -7.4260649032463375, 133.42466029494676]"
0,544,"[7.51091786401336, -134.94921975044116, -7.5109178640133525, 134.94921975044116]"
0,545,"[4.469203427254673, -137.55023770726876, -4.4692034272546595, 137.55023770726876]"
0,546,"[4.540675006306944, -139.74994350450356, -4.54067500630693, 139.74994350450356]"
0,547,"[4.362264515548708, -134.25894140251592, -4.362264515548695, 134.25894140251592]"
0,548,"[4.280565451348032, -131.74446071615176, -4.28056545134802, 131.74446071615176]"
0,549,"[4.188218078754419, -128.90225331641028, -4.1882180787544065, 128.90225331641028]"
0,550,"[4.244224140147901, -130.62597146509466, -4.244224140147889, 130.62597146509466]"
0,551,"[4.1631876085388, -128.13188177612935, -4.163187608538788, 128.13188177612935]"
0,552,"[4.170694888948096, -128.3629359721716, -4.170694888948083, 128.3629359721716]"
0,553,"[4.259999035956939, -131.11148095323034, -4.259999035956927, 131.11148095323034]"
0,554,"[6.648958900765032, -130.10535990974572, -6.648958900765039, 130.10535990974572]"
0,555,"[6.766262095701027, -132.4007229317603, -6.766262095701034, 132.4007229317603]"
0,556,"[6.873674155228712, -134.50253839972606, -6.873674155228719, 134.50253839972606]"
0,557,"[6.951120965663618, -136.0180004887361, -6.951120965663626, 136.0180004887361]"
0,558,"[6.983473042572361, -136.65105878746544, -6.983473042572368, 136.65105878746544]"
0,559,"[6.866591606077127, -134.36394864151, -6.866591606077134, 134.36394864151]"
0,560,"[6.927749179877968, -135.56066654416537, -6.927749179877976, 135.56066654416537]"
0,561,"[11.496691872824528, -136.54332053889047, -11.496691872824526, 136.54332053889047]"
0,562,"[11.485515979844362, -136.41058726619084, -11.48551597984436, 136.41058726619084]"
0,563,"[11.487704484713701, -136.4365795886068, -11.4877044847137, 136.4365795886068]"
0,564,"[4.4564856405358775, -136.947850515116, -4.456485640535883, 136.947850515116]"
0,565,"[4.493190378884676, -138.07578750987838, -4.493190378884681, 138.07578750987838]"
0,566,"[4.5725528457952755, -140.5145969511395, -4.57255284579528, 140.5145969511395]"
0,567,"[4.575083769681416, -140.5923722687287, -4.575083769681421, 140.5923722687287]"
0,568,"[4.5671930745519305, -140.34989112456793, -4.567193074551935, 140.34989112456793]"
0,569,"[4.44349309598597, -136.5485894847096, -4.443493095985975, 136.5485894847096]"
0,570,"[4.345745740852628, -133.5448122353703, -4.3457457408526325, 133.5448122353703]"
0,571,"[4.416475273138751, -135.71833150499802, -4.416475273138755, 135.71833150499802]"
0,572,"[4.137611059408701, -127.1488312897284, -4.137611059408705, 127.1488312897284]"
0,573,"[10.895387165002282, -125.14953178586971, -10.895387165002274, 125.14953178586971]"
0,574,"[10.962898175303652, -125.92499494304387, -10.962898175303645, 125.92499494304387]"
0,575,"[11.10898356878286, -127.60300035192037, -11.108983568782852, 127.60300035192037]"
0,576,"[3.5414984335876762, -128.84304709071031, -3.541498433587673, 128.84304709071031]"
0,577,"[3.5395792614070865, -128.77322580001206, -3.5395792614070833, 128.77322580001206]"
0,578,"[3.468022412491814, -126.16992027063097, -3.468022412491811, 126.16992027063097]"
0,579,"[3.8208151506953083, -128.60914647630722, -3.8208151506953123, 128.60914647630722]"
0,580,"[3.8626648100561125, -130.0178115800712, -3.8626648100561165, 130.0178115800712]"
0,581,"[3.884871101849492, -130.765278317223, -3.884871101849496, 130.765278317223]"
0,582,"[3.9337286335667496, -132.40982933716757, -3.933728633566754, 132.40982933716757]"
0,583,"[3.8484361146804025, -129.53887180005898, -3.848436114680407, 129.53887180005898]"
0,584,"[3.806692690903423, -128.13378260018519, -3.8066926909034273, 128.13378260018519]"
0,585,"[3.6875082755778754, -124.12201931833498, -3.6875082755778794, 124.12201931833498]"
0,586,"[5.2037308449409885, -125.107843108561, -5.2037308449409885, 125.107843108561]"
0,587,"[5.103583580433141, -122.70010746097651, -5.103583580433141, 122.70010746097651]"
0,588,"[5.065206890507182, -121.77745695399447, -5.065206890507182, 121.77745695399447]"
0,589,"[5.836179293877372, -121.039076997774, -5.836179293877368, 121.039076997774]"
0,590,"[5.86424169416048, -121.62107540076563, -5.8642416941604765, 121.62107540076563]"
0,591,"[5.964219455307583, -123.69455795162634, -5.964219455307579, 123.69455795162634]"
0,592,"[8.030778897664655, -125.34882881973766, -8.030778897664666, 125.34882881973766]"
0,593,"[7.944689868036035, -124.00510373706688, -7.944689868036046, 124.00510373706688]"
0,594,"[7.961872591788672, -124.27330117168339, -7.961872591788682, 124.27330117168339]"
0,595,"[7.875576918778083, -122.92635068507069, -7.875576918778092, 122.92635068507069]"
0,596,"[8.009478756169877, -125.01636445680498, -8.009478756169887, 125.01636445680498]"
0,597,"[7.62308554688658, -118.98532601523546, -7.623085546886591, 118.98532601523546]"
0,598,"[4.059733478744963, -119.39305465581971, -4.059733478744954, 119.39305465581971]"
0,599,"[4.059334278806738, -119.38131455014708, -4.059334278806729, 119.38131455014708]"
0,600,"[4.094456606181436, -120.41423012794093, -4.094456606181426, 120.41423012794093]"
0,601,"[4.13110341818327, -121.49197940660765, -4.131103418183261, 121.49197940660765]"
0,602,"[4.139925405566174, -121.75142600015735, -4.1399254055661645, 121.75142600015735]"
0,603,"[4.1040512064833, -120.69639856196221, -4.104051206483291, 120.69639856196221]"
0,604,"[4.150828715127402, -122.07208237851043, -4.1508287151273935, 122.07208237851043]"
0,605,"[4.229254615992203, -124.37851651203333, -4.229254615992194, 124.37851651203333]"
0,606,"[4.347635969956761, -127.86000403778334, -4.347635969956751, 127.86000403778334]"
0,607,"[8.602491522432851, -129.11161193930133, -8.602491522432848, 129.11161193930133]"
0,608,"[8.679114294531368, -130.26161477174813, -8.679114294531365, 130.26161477174813]"
0,609,"[8.593234166907251, -128.97267171586856, -8.593234166907248, 128.97267171586856]"
0,610,"[8.468981567572486, -130.89605067424074, -8.468981567572499, 130.89605067424074]"
0,611,"[8.475229774653439, -130.99262257301814, -8.47522977465345, 130.99262257301814]"
0,612,"[8.506317978742235, -131.47311991562185, -8.506317978742246, 131.47311991562185]"
0,613,"[8.669867000832669, -134.00092339617757, -8.66986700083268, 134.00092339617757]"
0,614,"[8.561057910393373, -132.3191768836459, -8.561057910393384, 132.3191768836459]"
0,615,"[8.708642339591272, -134.60023261258806, -8.708642339591282, 134.60023261258806]"
0,616,"[8.80398586371349, -136.07385617232617, -8.8039858637135, 136.07385617232617]"
0,617,"[8.788225625036509, -135.8302669067173, -8.788225625036521, 135.8302669067173]"
0,618,"[8.906460604573178, -137.6576993729962, -8.906460604573189, 137.6576993729962]"
0,619,"[8.973476748140591, -138.69349670640645, -8.973476748140602, 138.69349670640645]"
0,620,"[8.841698456030674, -136.65673964604972, -8.841698456030684, 136.65673964604972]"
0,621,"[8.972169898833236, -138.6732981250547, -8.972169898833247, 138.6732981250547]"
0,622,"[9.055143310658687, -139.95573000098477, -9.0551433106587, 139.95573000098477]"
0,623,"[4.828913510245914, -141.972136043815, -4.828913510245911, 141.972136043815]"
0,624,"[4.832022845593184, -142.0635518415906, -4.8320228455931815, 142.0635518415906]"
0,625,"[4.921313527524957, -144.68873632993672, -4.921313527524954, 144.68873632993672]"
0,626,"[9.876622568840293, -147.05954261147096, -9.876622568840288, 147.05954261147096]"
0,627,"[10.029383681999358, -149.33410350244452, -10.029383681999352, 149.33410350244452]"
0,628,"[10.339982462699759, -153.9588134482904, -10.339982462699755, 153.9588134482904]"
0,629,"[10.22807258534115, -156.55360763713549, -10.228072585341158, 156.55360763713549]"
0,630,"[10.314472890067464, -157.87607375115564, -10.314472890067472, 157.87607375115564]"
0,631,"[10.40967419058487, -159.33325025468454, -10.409674190584878, 159.33325025468454]"
